"Asset_ID","Canonical_Name","Alias","Operator","Company Type","Status","Total Space (sqft)","Colocation Space (sqft)","Power Capacity (MW)","Acre","street_address","city","state","postal_code","latitude","longitude","estimated_mw","Modified","Created"
"DC-10124","SE4 Kent Data Center","SE4 Kent Data Center","Equinix","[""Carrier Neutral/Real Estate""]","[""Operational""]","108,336","75,000","12","0","6906 S 204th St","Kent","WA",,"47.42148047","-122.2474649","12.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10123","IAD60  Ashburn","IAD60  Ashburn","Amazon","[""Hyperscale""]","[""Operational""]","109,997","0","0","0","21267 Smith Switch Road","Ashburn","VA",,"39.02871267","-77.45832688","6.7","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10122","East Windsor, NJ Data Center","East Windsor, NJ Data Center","QTS Data Centers","[""Carrier Neutral/Real Estate""]","[""Operational""]","553,930","58,157","12","0","159 Princeton Hightstown Road, East Windsor","New Jersey 08520",,,"40.27594401","-74.54841064","12.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10121","Chicago Data Center - QTS","Chicago Data Center - QTS","QTS Data Centers","[""Carrier Neutral/Real Estate""]","[""Operational""]","0","0","41","0","2800 South Ashland Avenue, Chicago","Illinois 60608",,,"41.84194014","-87.66808685","41.0","2/17/2026 1:48 PM","2/7/2026 7:23 PM"
"DC-10120","Henderson, NV Data Center","Henderson, NV Data Center","Google","[""Hyperscale""]","[""Operational""]","75,000","0","0","0","Google 560 W Warm Springs Rd, West Warm Springs Road","Henderson","NV","89011","36.05593572","-115.011456","4.6","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10119","Port of Morrow 3","Port of Morrow 3","Amazon","[""Hyperscale""]","[""Operational""]","0","0","0","0","73200 Lewis and Clark Drive","Boardman","OR",,"45.84992649","-119.6235655","1.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10118","Fort Worth Data Center - Meta","Fort Worth Data Center - Meta","Meta","[""Hyperscale""]","[""Operational""]","22,000,000","0","0","0","4500 Like Way, Fort Worth","Texas 76177",,,"32.98389176","-97.25945021","1,347.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10117","DC12 Ashburn Data Center","DC12 Ashburn Data Center","Equinix","[""Carrier Neutral/Real Estate""]","[""Operational""]","182,800","57,803","0","0","44790 Performance Circle","Ashburn","VA",,"39.02301763","-77.44978296","6.6","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10115","Phoenix PHX15 Data Center","Phoenix PHX15 Data Center","Digital Realty","[""Carrier Neutral/Real Estate""]","[""Operational""]","519,000","508,173","54","0","2121 South Price Road","Chandler","AZ",,"33.27478558","-111.8869333","54.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10114","AZ1 Phoenix Data Center","AZ1 Phoenix Data Center","Vantage Data Centers",,"[""Operational""]","800,000","800,000","32","0","45 South Bullard Avenue","Goodyear","AZ",,"33.4462932","-112.3738097","32.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10113","Silicon Valley SC1 Data Center","Silicon Valley SC1 Data Center","Digital Realty","[""Carrier Neutral/Real Estate""]","[""Operational""]","360,000","176,200","60","0","2220 De La Cruz Boulevard","Santa Clara","CA",,"37.36174738","-121.943422","60.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10112","AT1 Atlanta IBX Data Center","AT1 Atlanta IBX Data Center","Equinix","[""Carrier Neutral/Real Estate""]","[""Operational""]","79,200","43,012","4","0","180 Peachtree Street Northwest","Atlanta","GA",,"33.75878463","-84.38870713","4.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10111","New Albany Innovation Campus Way","New Albany Innovation Campus Way","Amazon","[""Hyperscale""]","[""Operational""]","0","0","0","0","Innovation Campus Way","New Albany","OH","43031","40.08823372","-82.72902926","1.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10110","DEN2 (Denver) Englewood Data Center Campus","DEN2 (Denver) Englewood Data Center Campus","Csquare",,"[""Operational""]","98,218","98,218","7","0","8534 Concord Center Drive","Englewood","CO",,"39.56080351","-104.8306916","7.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10109","BO2 Billerica Data Center","BO2 Billerica Data Center","Equinix","[""Carrier Neutral/Real Estate""]","[""Operational""]","108,336","75,000","0","0","41 Alexander Street","Billerica","MA",,"42.55073985","-71.21531533","5.5","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10108","Austin One Data Center","Austin One Data Center","Element Critical",,"[""Operational""]","62,300","0","5","0","8025 N Interstate Hwy 35","Austin","TX","78753","30.34277452","-97.69622766","5.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10107","New York JFK10 Data Center","New York JFK10 Data Center","Digital Realty","[""Carrier Neutral/Real Estate""]","[""Operational""]","109,600","0","18","0","111 8th Avenue","New York","NY",,"40.74084413","-74.00196705","18.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10106","Miami KeyCenter","Miami KeyCenter","Telefonica Global Solutions",,"[""Operational""]","173,500","44,000","12","0","11300 Northwest 25th Street","Doral","FL","33172","25.79660956","-80.37981696","12.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10105","DFW1 Fort Worth Data Center Campus","DFW1 Fort Worth Data Center Campus","Csquare",,"[""Operational""]","373,700","373,700","20","0","14901 FAA Boulevard","Fort Worth","TX",,"32.8322721","-97.04057542","20.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10104","Houston One Data Center","Houston One Data Center","Element Critical",,"[""Operational""]","118,248","73,184","26","0","22000 Franz Road","Katy","TX",,"29.80295858","-95.7557398","26.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10103","TPA1 Tampa Data Center Campus","TPA1 Tampa Data Center Campus","Csquare",,"[""Operational""]","96,000","96,000","9","0","9310 Florida Palm Drive","Tampa","FL",,"27.94491868","-82.35130133","9.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10102","Prineville Data Center - Meta","Prineville Data Center - Meta","Meta","[""Hyperscale""]","[""Operational""]","3,200,000","0","0","0","735 S.W. Connect Way","Prineville","OR",,"44.29432441","-120.8871873","195.9","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10101","PDX2 Umatilla","PDX2 Umatilla","Amazon","[""Hyperscale""]","[""Operational""]","0","0","0","0","2400 Beach Access Road","Umatilla","OR","97882","45.91632099","-119.267578","1.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
